message_id,image_path,image_category,confidence_score
10,10.jpg,other,0.0
11,11.jpg,other,0.4272958040237427
13,13.jpg,other,0.5038573741912842
14,14.jpg,other,0.0
15,15.jpg,other,0.0
17,17.jpg,product_display,0.525965690612793
18,18.jpg,other,0.0
19,19.jpg,lifestyle,0.9401441216468811
2,2.jpg,product_display,0.3871833384037018
20,20.jpg,lifestyle,0.9401441216468811
21,21.jpg,other,0.2525583803653717
22,22.jpg,other,0.2775041162967682
23,23.jpg,other,0.6106985807418823
25,25.jpg,lifestyle,0.8613094687461853
26,26.jpg,promotional,0.8275555372238159
27,27.jpg,other,0.0
29,29.jpg,lifestyle,0.6185243725776672
3,3.jpg,other,0.0
30,30.jpg,lifestyle,0.4139050245285034
31,31.jpg,product_display,0.5125070810317993
32,32.jpg,lifestyle,0.5881931185722351
33,33.jpg,other,0.6712228059768677
34,34.jpg,other,0.0
38,38.jpg,other,0.0
39,39.jpg,other,0.9113695621490479
40,40.jpg,lifestyle,0.7191462516784668
41,41.jpg,lifestyle,0.4210361838340759
43,43.jpg,lifestyle,0.8564765453338623
44,44.jpg,lifestyle,0.9386717081069946
45,45.jpg,other,0.6319920420646667
46,46.jpg,lifestyle,0.8272139430046082
48,48.jpg,other,0.0
49,49.jpg,other,0.6801489591598511
50,50.jpg,other,0.29161009192466736
52,52.jpg,lifestyle,0.7039297223091125
53,53.jpg,lifestyle,0.5737692713737488
55,55.jpg,other,0.3071281909942627
56,56.jpg,lifestyle,0.8329593539237976
58,58.jpg,product_display,0.4115249216556549
59,59.jpg,product_display,0.2866142988204956
60,60.jpg,other,0.0
64,64.jpg,lifestyle,0.6864561438560486
67,67.jpg,other,0.5792277455329895
70,70.jpg,lifestyle,0.9247003793716431
71,71.jpg,lifestyle,0.8835616111755371
74,74.jpg,other,0.0
75,75.jpg,lifestyle,0.8353003859519958
76,76.jpg,lifestyle,0.8694233894348145
77,77.jpg,product_display,0.9558238387107849
78,78.jpg,lifestyle,0.769858181476593
79,79.jpg,other,0.0
80,80.jpg,promotional,0.9279417395591736
81,81.jpg,product_display,0.8817965984344482
82,82.jpg,product_display,0.8991733193397522
85,85.jpg,other,0.0
86,86.jpg,lifestyle,0.9013165235519409
87,87.jpg,other,0.2785612940788269
88,88.jpg,other,0.0
9,9.jpg,product_display,0.3871833384037018
90,90.jpg,other,0.307801753282547
91,91.jpg,other,0.0
92,92.jpg,other,0.0
93,93.jpg,lifestyle,0.9076733589172363
94,94.jpg,promotional,0.7408689260482788
95,95.jpg,lifestyle,0.8684403896331787
96,96.jpg,product_display,0.3260018825531006
97,97.jpg,other,0.0
22840,22840.jpg,promotional,0.790038526058197
22841,22841.jpg,other,0.0
22842,22842.jpg,product_display,0.7326311469078064
22843,22843.jpg,product_display,0.30643847584724426
22844,22844.jpg,promotional,0.790038526058197
22845,22845.jpg,other,0.0
22846,22846.jpg,lifestyle,0.4573279917240143
22847,22847.jpg,product_display,0.8006815910339355
22848,22848.jpg,lifestyle,0.5967602729797363
22849,22849.jpg,other,0.0
22850,22850.jpg,other,0.0
22851,22851.jpg,product_display,0.5879679322242737
22852,22852.jpg,other,0.0
22853,22853.jpg,other,0.0
22854,22854.jpg,other,0.0
22855,22855.jpg,other,0.0
22856,22856.jpg,other,0.0
22857,22857.jpg,product_display,0.5016915202140808
22858,22858.jpg,other,0.0
22859,22859.jpg,product_display,0.5791753530502319
22860,22860.jpg,product_display,0.38477978110313416
22861,22861.jpg,lifestyle,0.5967602729797363
22862,22862.jpg,product_display,0.9318892359733582
22863,22863.jpg,product_display,0.9044638276100159
22864,22864.jpg,other,0.29310178756713867
22865,22865.jpg,product_display,0.7241196632385254
22866,22866.jpg,other,0.0
22867,22867.jpg,other,0.2753831446170807
22868,22868.jpg,product_display,0.28025001287460327
22869,22869.jpg,other,0.0
22870,22870.jpg,product_display,0.5707811713218689
22871,22871.jpg,product_display,0.3501995801925659
22872,22872.jpg,product_display,0.9156719446182251
22873,22873.jpg,product_display,0.8690334558486938
22874,22874.jpg,other,0.4634682238101959
22875,22875.jpg,other,0.0
22876,22876.jpg,product_display,0.5707811713218689
22877,22877.jpg,other,0.0
22878,22878.jpg,other,0.0
22879,22879.jpg,lifestyle,0.6241406798362732
22880,22880.jpg,other,0.0
22881,22881.jpg,other,0.0
22882,22882.jpg,product_display,0.8308448195457458
22883,22883.jpg,other,0.0
22884,22884.jpg,other,0.317937970161438
22885,22885.jpg,other,0.0
22886,22886.jpg,other,0.0
22887,22887.jpg,other,0.0
22888,22888.jpg,other,0.0
22889,22889.jpg,product_display,0.8699760437011719
22890,22890.jpg,product_display,0.4841187298297882
22891,22891.jpg,product_display,0.5879679322242737
22892,22892.jpg,other,0.2554719150066376
22893,22893.jpg,lifestyle,0.6241406798362732
22894,22894.jpg,lifestyle,0.6789199113845825
22895,22895.jpg,other,0.0
22896,22896.jpg,product_display,0.6552395224571228
22897,22897.jpg,product_display,0.8551763892173767
22898,22898.jpg,other,0.3222518563270569
22899,22899.jpg,other,0.2530409097671509
22900,22900.jpg,other,0.0
22901,22901.jpg,product_display,0.5191171765327454
22902,22902.jpg,other,0.0
22903,22903.jpg,other,0.0
22904,22904.jpg,product_display,0.5879679322242737
22905,22905.jpg,other,0.0
22906,22906.jpg,other,0.0
22907,22907.jpg,other,0.4816800355911255
22908,22908.jpg,product_display,0.6904144883155823
22909,22909.jpg,other,0.2554719150066376
22910,22910.jpg,other,0.0
22911,22911.jpg,product_display,0.5707811713218689
22912,22912.jpg,other,0.0
22913,22913.jpg,other,0.0
22914,22914.jpg,product_display,0.5016915202140808
22915,22915.jpg,other,0.3195789158344269
22916,22916.jpg,lifestyle,0.6241406798362732
22917,22917.jpg,lifestyle,0.6789199113845825
22918,22918.jpg,other,0.2700810432434082
22919,22919.jpg,other,0.5485917329788208
22920,22920.jpg,product_display,0.901940643787384
22921,22921.jpg,product_display,0.8162503242492676
22922,22922.jpg,product_display,0.35074156522750854
22923,22923.jpg,other,0.0
22924,22924.jpg,other,0.0
22925,22925.jpg,other,0.0
22926,22926.jpg,other,0.0
